Course_CRN,Course Section # ,Course_name,Course_credit,Course_dept,Instructor Name,Location,# of Students
1001,10011,CS150,4,CS,Frank,Zoom,20
1001,10012,CS150,4,CS,Frank,Zoom,19
1001,10013,CS150,4,CS,Frank,Zoom,18
1002,10021,CS205,4,CS,Smith,Zoom,25
1003,10031,CS320,4,CS,Pfafman,RISC,26
1004,10041,CS420,4,CS,Pfafman,RISC,27
1005,10051,CS421,4,CS,Pfafman,RISC,27
1006,10061,CS422,4,CS,Pfafman,RISC,27
1007,10071,CS423,4,CS,Pfafman,RISC,27
1008,10081,CS424,4,CS,Pfafman,RISC,27
1009,10091,CS425,4,CS,Pfafman,RISC,27
1010,10101,CS426,4,CS,Pfafman,RISC,27
1011,10111,CS427,4,CS,Pfafman,RISC,27
1012,10121,CS428,4,CS,Pfafman,RISC,27
1013,10131,CS429,4,CS,Pfafman,RISC,27
1014,10141,CS430,4,CS,Pfafman,RISC,27
1015,10151,CS431,4,CS,Pfafman,RISC,27
1016,10161,CS432,4,CS,Pfafman,RISC,27
2001,20011,ECON101,4,ECON,Hutchinson,Zoom,20
2002,20021,ECON251,4,ECON,Hutchinson,Zoom,20
2003,20031,ECON252,4,ECON,Hutchinson,Zoom,20
2004,20041,ECON400,4,ECON,Hutchinson,Zoom,15
2004,20042,ECON401,4,ECON,Hutchinson,Zoom,15
2004,20043,ECON402,4,ECON,Schumacher,Simon,35
2004,20044,ECON403,4,ECON,Schumacher,Simon,10
2004,20045,ECON404,4,ECON,Schumacher,Simon,9
2005,20051,ECON405,4,ECON,Schumacher,Simon,9
2006,20061,ECON406,4,ECON,Schumacher,Simon,9
2007,20071,ECON407,4,ECON,Schumacher,Simon,9
2008,20081,ECON408,4,ECON,Schumacher,Simon,9
2009,20091,ECON409,4,ECON,Schumacher,Simon,9
2010,20101,ECON410,4,ECON,Schumacher,Simon,9
2011,20111,ECON411,4,ECON,Schumacher,Simon,9
2012,20121,ECON412,4,ECON,Schumacher,Simon,9
2013,20131,ECON413,4,ECON,Schumacher,Simon,9
2014,20141,ECON414,4,ECON,Schumacher,Simon,9
2015,20151,ECON415,4,ECON,Schumacher,Simon,9
2016,20161,ECON416,4,ECON,Schumacher,Simon,9
3001,30011,MATH101,4,MATH,Farhan,Pardee,29
3001,30012,MATH101,4,MATH,Farhan,Pardee,17
3001,30013,MATH101,4,MATH,Farhan,Pardee,23
3001,30014,MATH101,4,MATH,Farhan,Pardee,13
3002,30021,MATH200,4,MATH,Omar,Pardee,30
3003,30031,MATH300,4,MATH,Omar,Pardee,15
3004,30041,MATH400,4,MATH,Omar,Pardee,16
3005,30051,MATH401,4,MATH,Omar,Pardee,16
3006,30061,MATH402,4,MATH,Omar,Pardee,16
3007,30071,MATH403,4,MATH,Omar,Pardee,16
3008,30081,MATH404,4,MATH,Omar,Pardee,16
3009,30091,MATH405,4,MATH,Omar,Pardee,16
3010,30101,MATH406,4,MATH,Omar,Pardee,16
3011,30111,MATH407,4,MATH,Omar,Pardee,16
3012,30121,MATH408,4,MATH,Omar,Pardee,16
3013,30131,MATH409,4,MATH,Omar,Pardee,16
3014,30141,MATH410,4,MATH,Omar,Pardee,16
3015,30151,MATH411,4,MATH,Omar,Pardee,16
3016,30161,MATH412,4,MATH,Omar,Pardee,16
